file	lines	omega	decide	bv_decide	simp	norm_num	decision_total
Vsa/Sim/DecodeTable/Batch05Part03.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part04.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part05.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part06.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part07.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part08.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part09.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part10.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part11.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part12.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part13.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part14.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part15.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part16.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part17.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part18.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part19.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part20.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part21.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part22.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part23.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part24.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part25.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part26.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part27.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part28.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part29.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part30.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part31.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part32.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part01.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part02.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part03.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part04.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part05.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part06.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part07.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part08.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part09.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part10.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch06Part11.lean	484	16	48	0	48	0	64
